,avg_rating,genre,language,num_reviews,premiere,rating_count,title,quarter,year,paid_membership,quarter_revenue,year_quarter,month
292,6.4,Zombie,English,1,2019-04-11,14100,Black Summer,2,2019,151.56,4923.0,2019_02,4
293,6.6,Teen,English,195,2019-04-26,5305,Chambers,2,2019,151.56,4923.0,2019_02,4
294,7.1,Mystery,English,358,2019-05-10,10810,The Society,2,2019,151.56,4923.0,2019_02,5
295,6.3,Social thriller,English,329,2019-05-24,8301,What/If,2,2019,151.56,4923.0,2019_02,5
296,9.1,Drama,English,421,2019-05-31,33956,When They See Us,2,2019,151.56,4923.0,2019_02,5
297,7.2,Coming-of-age,English,44,2019-06-14,2556,Trinkets,2,2019,151.56,4923.0,2019_02,6
298,6.8,Comedy,English,99,2019-04-12,1901,Huge in France,2,2019,151.56,4923.0,2019_02,4
299,6.6,Comedy,English,107,2019-04-19,2237,Lunatics,2,2019,151.56,4923.0,2019_02,4
300,7.5,Sketch comedy,English,92,2019-04-23,2819,I Think You Should Leave with Tim Robinson,2,2019,151.56,4923.0,2019_02,4
301,7.3,Dark comedy,English,129,2019-04-24,7658,Bonding,2,2019,151.56,4923.0,2019_02,4
302,8.2,Dark comedy,English,361,2019-05-03,24373,Dead to Me,2,2019,151.56,4923.0,2019_02,5
303,7.7,Comedy,English,57,2019-05-17,1739,It's Bruno!,2,2019,151.56,4923.0,2019_02,5
304,7.2,Comedy,English,116,2019-06-21,2814,Mr. Iglesias,2,2019,151.56,4923.0,2019_02,6
305,7.4,Comedy,English,54,2019-05-03,2451,Tuca & Bertie,2,2019,151.56,4923.0,2019_02,5
306,7.0,Science fiction,English,42,2019-04-01,1073,Ultraman,2,2019,151.56,4923.0,2019_02,4
307,6.7,Comedy-drama,English,39,2019-05-24,3322,She's Gotta Have It,2,2019,151.56,4923.0,2019_02,5
308,5.5,Sitcom,English,64,2019-04-15,993,No Good Nick,2,2019,151.56,4923.0,2019_02,4
309,7.6,Crime drama,English,154,2019-04-05,10892,Quicksand,2,2019,151.56,4923.0,2019_02,4
310,6.6,Drama,English,8,2019-04-11,410,Persona,2,2019,151.56,4923.0,2019_02,4
311,7.5,Romantic comedy,English,22,2019-04-18,380,My First First Love,2,2019,151.56,4923.0,2019_02,4
312,6.9,Mystery,English,60,2019-05-24,2594,High Seas,2,2019,151.56,4923.0,2019_02,5
313,8.0,Dark comedy,English,88,2019-05-31,8132,How to Sell Drugs Online (Fast),2,2019,151.56,4923.0,2019_02,5
314,3.5,Fantasy,English,537,2019-06-13,8423,Jinn,2,2019,151.56,4923.0,2019_02,6
315,4.2,Fantasy,English,49,2019-06-13,4294,Jinn,2,2019,151.56,4923.0,2019_02,6
316,6.0,Drama,English,7,2019-06-14,221,Yankee,2,2019,151.56,4923.0,2019_02,6
317,4.4,Drama,English,550,2019-06-14,5678,Leila,2,2019,151.56,4923.0,2019_02,6
318,5.8,Thriller,English,10,2019-06-28,268,The Chosen One,2,2019,151.56,4923.0,2019_02,6
319,7.5,Science fiction,English,119,2019-06-07,17626,3%,2,2019,151.56,4923.0,2019_02,6
320,8.7,Science fiction,English,667,2019-06-21,127097,Dark,2,2019,151.56,4923.0,2019_02,6
321,9.3,Nature documentary,English,144,2019-04-05,14626,Our Planet,2,2019,151.56,4923.0,2019_02,4
322,8.1,Culinary art,English,22,2019-04-26,1067,Street Food,2,2019,151.56,4923.0,2019_02,4
323,7.9,Docu-series,English,2,2019-05-17,183,1994,2,2019,151.56,4923.0,2019_02,5
324,7.9,Docu-series,English,9,2019-05-31,626,Killer Ratings,2,2019,151.56,4923.0,2019_02,5
325,8.3,Culinary art,English,19,2019-06-07,1461,The Chef Show,2,2019,151.56,4923.0,2019_02,6
326,6.3,True crime,English,16,2019-06-28,344,Exhibit A,2,2019,151.56,4923.0,2019_02,6
327,7.4,Competition,English,105,2019-05-17,2764,Nailed It!,2,2019,151.56,4923.0,2019_02,5
328,6.8,Reality,English,53,2019-04-10,1480,You vs. Wild,2,2019,151.56,4923.0,2019_02,4
329,5.6,Reality television,English,27,2019-06-14,329,Awake: The Million Dollar Game,2,2019,151.56,4923.0,2019_02,6
330,7.4,Univision,English,5,2019-04-05,205,Tijuana,2,2019,151.56,4923.0,2019_02,4
331,8.1,Talk show,English,71,2019-05-12,3151,Patriot Act with Hasan Minhaj,2,2019,151.56,4923.0,2019_02,5
332,8.2,Fantasy,English,1,2019-05-08,159417,Lucifer,2,2019,151.56,4923.0,2019_02,5
333,6.7,Horror,English,194,2019-05-23,9180,Slasher,2,2019,151.56,4923.0,2019_02,5
334,7.6,Political thriller,English,819,2019-06-07,62182,Designated Survivor,2,2019,151.56,4923.0,2019_02,6
335,6.1,Horror/thriller,English,405,2019-05-24,19927,The Perfection,2,2019,151.56,4923.0,2019_02,5
336,6.9,Romantic comedy,English,267,2019-05-31,28878,Always Be My Maybe,2,2019,151.56,4923.0,2019_02,5
337,6.4,Drama,English,36,2019-06-19,2454,Beats,2,2019,151.56,4923.0,2019_02,6
338,5.5,Comedy,English,289,2019-05-10,13015,Wine Country,2,2019,151.56,4923.0,2019_02,5
339,5.1,Science fiction/adventure,English,538,2019-05-24,12967,Rim of the World,2,2019,151.56,4923.0,2019_02,5
340,5.6,Romantic comedy,English,80,2019-05-03,6856,The Last Summer,2,2019,151.56,4923.0,2019_02,5
341,5.9,Romantic comedy,English,181,2019-04-12,21453,The Perfect Date,2,2019,151.56,4923.0,2019_02,4
342,6.2,Romantic comedy,English,151,2019-04-19,10648,Someone Great,2,2019,151.56,4923.0,2019_02,4
343,6.4,Romance,Spanish,16,2019-06-07,1351,Elisa & Marcela,2,2019,151.56,4923.0,2019_02,6
344,5.0,Science fiction,English,267,2019-05-17,5776,See You Yesterday,2,2019,151.56,4923.0,2019_02,5
345,5.5,Comedy,English,271,2019-04-05,13422,Unicorn Store,2,2019,151.56,4923.0,2019_02,4
346,5.3,Comedy,Spanish,13,2019-05-03,2316,Despite Everything,2,2019,151.56,4923.0,2019_02,5
347,6.5,Comedy,Hindi,70,2019-05-31,2528,Chopsticks,2,2019,151.56,4923.0,2019_02,5
348,5.6,Drama,English,45,2019-05-16,1473,Good Sam,2,2019,151.56,4923.0,2019_02,5
349,5.3,Drama,Spanish,7,2019-04-12,1426,Who Would You Take to a Deserted Island?,2,2019,151.56,4923.0,2019_02,4
239,8.1,Superhero,English,925,2019-02-15,75321,The Umbrella Academy,1,2019,148.86,4521.0,2019_01,2
240,7.0,Supernatural,English,401,2019-03-07,10489,The Order,1,2019,148.86,4521.0,2019_01,3
241,6.5,Thriller,English,25,2019-03-08,565,Shadow,1,2019,148.86,4521.0,2019_01,3
242,8.0,Comedy,English,427,2019-02-01,41947,Russian Doll,1,2019,148.86,4521.0,2019_01,2
243,8.5,Comedy,English,713,2019-03-08,39498,After Life,1,2019,148.86,4521.0,2019_01,3
244,7.2,Comedy,English,97,2019-03-15,5107,Turn Up Charlie,1,2019,148.86,4521.0,2019_01,3
245,8.6,Anthology,English,626,2019-03-15,59956,"Love, Death & Robots",1,2019,148.86,4521.0,2019_01,3
246,7.8,Mockumentary,English,32,2019-03-31,1106,Trailer Park Boys: The Animated Series,1,2019,148.86,4521.0,2019_01,3
247,7.8,Mystery,English,657,2019-03-22,75189,The OA,1,2019,148.86,4521.0,2019_01,3
248,7.8,Black-comedy,English,259,2019-01-01,47451,A Series of Unfortunate Events,1,2019,148.86,4521.0,2019_01,1
249,8.1,Coming-of-age,English,86,2019-03-29,6870,On My Block,1,2019,148.86,4521.0,2019_01,3
250,6.8,Comedy,English,218,2019-01-11,15309,Friends from College,1,2019,148.86,4521.0,2019_01,1
251,7.9,Comedy-horror,English,396,2019-03-29,48061,Santa Clarita Diet,1,2019,148.86,4521.0,2019_01,3
252,8.3,Fantasy,English,194,2019-01-25,10976,Kingdom,1,2019,148.86,4521.0,2019_01,1
253,6.3,Supernatural,English,51,2019-02-01,1247,Always a Witch,1,2019,148.86,4521.0,2019_01,2
254,8.6,Police procedural,English,145,2019-03-22,5512,Delhi Crime,1,2019,148.86,4521.0,2019_01,3
255,7.6,Crime,English,4,2019-03-22,464,Crime Diaries: The Candidate,1,2019,148.86,4521.0,2019_01,3
256,5.9,Science fiction,English,37,2019-03-29,1681,Osmosis,1,2019,148.86,4521.0,2019_01,3
257,8.1,Crime drama,English,38,2019-02-22,7135,Suburra: Blood on Rome,1,2019,148.86,4521.0,2019_01,2
258,7.0,Musical,English,14,2019-02-22,209,Go! Live Your Way,1,2019,148.86,4521.0,2019_01,2
259,7.0,Musical,English,14,2019-02-22,209,Go! Live Your Way,1,2019,148.86,4521.0,2019_01,2
260,7.7,Comedy,English,183,2019-01-25,56168,Unbreakable Kimmy Schmidt,1,2019,148.86,4521.0,2019_01,1
261,6.8,Docu-series,English,18,2019-01-18,878,Trigger Warning with Killer Mike,1,2019,148.86,4521.0,2019_01,1
262,7.8,True crime,English,80,2019-01-24,14942,Conversations with a Killer: The Ted Bundy Tapes,1,2019,148.86,4521.0,2019_01,1
263,8.2,True crime,English,3,2019-01-25,224,Examination of Conscience,1,2019,148.86,4521.0,2019_01,1
264,7.8,Sport,English,12,2019-03-01,903,Losers,1,2019,148.86,4521.0,2019_01,3
265,7.1,Sport,English,5,2019-03-01,319,Cricket Fever: Mumbai Indians,1,2019,148.86,4521.0,2019_01,3
266,8.6,Sport,English,104,2019-03-08,6604,Formula 1: Drive to Survive,1,2019,148.86,4521.0,2019_01,3
267,6.7,True crime,English,76,2019-03-15,4626,The Disappearance of Madeleine McCann,1,2019,148.86,4521.0,2019_01,3
268,6.6,Reality show,English,47,2019-01-01,2029,Tidying Up with Marie Kondo,1,2019,148.86,4521.0,2019_01,1
269,7.4,Reality,English,105,2019-02-08,2764,Nailed It!,1,2019,148.86,4521.0,2019_01,2
270,6.4,Reality,English,19,2019-02-14,553,Dating Around,1,2019,148.86,4521.0,2019_01,2
271,5.3,Reality,English,85,2019-03-22,889,Selling Sunset,1,2019,148.86,4521.0,2019_01,3
272,8.4,Makeover reality,English,90,2019-03-15,10510,Queer Eye,1,2019,148.86,4521.0,2019_01,3
273,7.3,BBC Two,English,87,2019-01-25,2792,Black Earth Rising,1,2019,148.86,4521.0,2019_01,1
274,6.0,Syfy,English,356,2019-02-01,9058,Nightflyers,1,2019,148.86,4521.0,2019_01,2
275,7.1,CBC,English,187,2019-03-01,2167,Northern Rescue,1,2019,148.86,4521.0,2019_01,3
276,6.5,Channel 4,English,53,2019-03-29,1490,Traitors,1,2019,148.86,4521.0,2019_01,3
