avg_rating,num_reviews,rating_count,title
5.3,5,303,Growing Up Coy
8.3,17,"9,649",The House of Small Cubes
6.5,11,897,Tig Notaro: Happy To Be Here
3.9,7,669,Rape Zombie: Lust of the Dead
6.3,16,822,Casanova Brown
8.3,26,"3,486",The Culture High
7.2,6,"3,486",The Fluffy Movie: Unity Through Laughter
5.4,10,"1,269",Stranded in Paradise
6.6,6,"4,037",Stereo
3.7,7,428,Her Infidelity
6.0,9,"1,578","Thi Mai, rumbo a Vietnam"
7.1,8,"1,165",The Death and Life of Marsha P. Johnson
4.6,13,337,Inspector Gadget
8.4,7,"1,785",Hip-Hop Evolution
8.1,153,"24,596",Castlevania
5.1,6,160,The Slaughterhouse
6.3,2,178,The Woman in White
4.6,107,"1,354",Haunted
8.1,86,"6,870",On My Block
5.8,10,268,The Chosen One
7.4,53,"7,106",White Gold
7.3,9,307,Carlo & Malik
6.8,15,575,The Stadium
6.9,2,512,The Tunnel
7.1,16,580,Heist
7.6,3,604,Diner
7.0,21,687,Alone
6.4,18,739,Summer School
7.5,3,738,Drive
6.4,1,"14,100",Black Summer
6.0,534,"22,316","Rachel, Jack and Ashley Too"
8.9,573,"337,597",Black Mirror
8.4,2,783,A.K.A The Double Half-Wappinger
7.2,116,"2,814",Mr. Iglesias
8.0,564,"177,561",Jessica Jones
7.5,22,380,My First First Love
7.1,48,"3,612",The Dark Mirror
7.2,15,714,Switched
4.5,22,"2,731",Hate Story 3
7.1,4,340,Dinotrux
7.0,41,"2,751",T-Men
8.1,42,"8,038",The Square
2.8,10,"1,206",Hard Breakers
8.8,88,"2,478",Norm Macdonald Has a Show
5.5,17,423,Spivak
7.5,9,"2,052",My Happy Family
7.0,34,"1,553",Anthony Jeselnik: Fire in the Maternity Ward
5.9,11,833,Strange Weather
4.4,26,"3,102",The Pact II
8.3,12,"1,450",Tales by Light
5.2,53,419,Still Laugh-In: The Stars Celebrate
5.7,12,425,Home: Adventures with Tip & Oh
6.4,7,"1,016",Little Einsteins
6.9,19,"2,438",Angry Indian Goddesses
7.2,14,"5,712",Into the Inferno
7.6,17,"2,229",Pramface
6.7,7,"2,529",Aziz Ansari Live in Madison Square Garden
6.8,23,"3,452",Stone of Destiny
6.5,6,"1,387",The Silence of the Sky
6.6,13,"3,262",The Motive
7.4,5,205,Tijuana
7.0,10,"2,499",Southcliffe
7.6,9,534,Brené Brown: The Call to Courage
7.9,4,"7,516",Marco Polo: One Hundred Eyes
7.6,21,206,Brainchild
4.4,44,"1,872",Nightworld: Door of Hell
3.2,10,368,Splatter
4.6,33,"1,451",The Devil and Father Amorth
7.5,29,"2,309",Joe Rogan: Strange Times
7.4,21,"3,934",Period. End of Sentence.
4.9,57,"6,201",Expelled
5.6,11,"1,148",Delete
4.4,11,"1,303",Balls Out
7.2,16,"4,645",Audrie & Daisy
5.7,19,275,Miranda Sings Live... Your Welcome
7.1,13,683,Grass is Greener
6.3,35,"4,233",Force 2
5.8,5,"1,547",The Tribe
6.5,5,"1,324",Dovlatov
7.6,18,"10,321","What Happened, Miss Simone?"
5.7,5,328,Barbie: Dolphin Magic
5.5,3,"1,121",Yucatán
7.4,12,"3,318",W/ Bob and David
5.8,11,"2,207",Manson Family Vacation
7.1,12,"3,859",Fullmetal Alchemist: The Sacred Star of Milos
8.2,7,257,Julie's Greenroom
3.6,17,"1,283",The Guest House
7.3,5,"3,236",Aziz Ansari: Buried Alive
7.2,42,"7,554",Shaitan
4.5,32,"1,501",American Violence
5.8,14,"6,047",Zambezia
2.9,167,"8,534",Amy Schumer: The Leather Special
6.5,76,"4,676",The Puffy Chair
7.7,14,"2,432",Quincy
