,year,quarter,paid_membership,quarter_revenue
0,2012,1,24.43,869.8
1,2012,2,25.71,889.2
2,2012,3,27.49,905.1
3,2012,4,30.36,945.2
4,2013,1,34.24,1024.0
5,2013,2,35.64,1069.0
6,2013,3,38.01,1106.0
7,2013,4,41.43,1175.0
8,2014,1,46.13,1270.0
9,2014,2,47.99,1340.0
10,2014,3,50.65,1409.0
11,2014,4,54.48,1485.0
12,2015,1,59.62,1573.0
13,2015,2,62.08,1645.0
14,2015,3,66.02,1738.0
15,2015,4,70.84,1823.0
16,2016,1,77.71,1958.0
17,2016,2,79.9,2105.0
18,2016,3,83.28,2290.0
19,2016,4,89.09,2478.0
20,2017,1,94.36,2637.0
21,2017,2,99.04,2785.0
22,2017,3,104.02,2985.0
23,2017,4,110.64,3286.0
24,2018,1,118.9,3701.0
25,2018,2,124.35,3907.0
26,2018,3,130.42,3999.0
27,2018,4,139.26,4187.0
28,2019,1,148.86,4521.0
29,2019,2,151.56,4923.0
