episodes,genre,language,length,premiere,seasons,status,title
4,Family drama,English,88–102 min.,"November 25, 2016",1,"Miniseries
",Gilmore Girls: A Year in the Life
10,Psychological thriller,English,46–58 min.,"June 30, 2017",1,Ended,Gypsy
10,Crime drama,English,34–60 min.,"October 13, 2017",1,"Season 2 due to premiere on August 16, 2019",Mindhunter
7,Western,English,41–80 min.,"November 22, 2017",1,"Miniseries
",Godless
10,Science fiction,English,46–66 min.,"February 2, 2018",1,Renewed,Altered Carbon
10,Crime drama,English,54–80 min.,"February 23, 2018",1,Ended,Seven Seconds
10,Science fiction,English,48–66 min.,"April 13, 2018",1,Renewed,Lost in Space
8,Supernatural fiction,English,46–56 min.,"August 24, 2018",1,"Ended
",The Innocents
10,Horror,English,43–71 min.,"October 12, 2018",1,Renewed,The Haunting
10,Crime drama,English,55–70 min.,"November 16, 2018",1,Renewed,Narcos: Mexico
8,Supernatural,English,36–48 min.,"December 14, 2018",1,"Pending
",Tidelands
10,Superhero,English,45–60 min.,"February 15, 2019",1,Renewed,The Umbrella Academy
10,Supernatural,English,42–51 min.,"March 7, 2019",1,Renewed,The Order
8,Thriller,English,40–49 min.,"March 8, 2019",1,"Pending
",Shadow
8,Zombie,English,21–45 min.,"April 11, 2019",1,"Pending
",Black Summer
10,Teen,English,38–51 min.,"April 26, 2019",1,Ended,Chambers
10,Mystery,English,49–61 min.,"May 10, 2019",1,Renewed,The Society
10,Social thriller,English,44–58 min.,"May 24, 2019",1,"Pending
",What/If
4,Drama,English,64–88 min.,"May 31, 2019",1,"Miniseries
",When They See Us
10,Coming-of-age,English,22–29 min.,"June 14, 2019",1,"Pending
",Trinkets
10,Science-fiction,English,,"July 25, 2019",1,"Pending
",Another Life
10,Supernatural,English,,"August 8, 2019",1,"Pending
",Wu Assassins
10,Fantasy,English,,"August 30, 2019",1,"Pending
",The Dark Crystal: Age of Resistance
8,Drama,English,,"September 13, 2019",1,"Miniseries
",Unbelievable
8,Superhero,English,44–57 min.,"August 18, 2017",1,"Miniseries
",The Defenders
8,Satirical comedy,English,27–30 min.,"July 31, 2015",1,"Miniseries
",Wet Hot American Summer: First Day of Camp
5,Sketch comedy,English,27–33 min.,"November 13, 2015",1,"Ended
",W/ Bob & David
8,Sketch comedy,English,27–38 min.,"March 11, 2016",1,Ended,Netflix Presents: The Characters
8,Mockumentary,English,22–30 min.,"October 28, 2016",1,"Ended
",Trailer Park Boys Out of the Park: Europe
13,Comedy,English,24–29 min.,"April 21, 2017",1,Ended,Girlboss
8,Satirical comedy,English,24–31 min.,"August 4, 2017",1,"Miniseries
",Wet Hot American Summer: Ten Years Later
8,Mockumentary,English,23–35 min.,"November 24, 2017",1,"Ended
",Trailer Park Boys Out of the Park: USA
10,Coming-of-age,English,23–27 min.,"February 16, 2018",1,Ended,Everything Sucks!
10,Comedy,English,22–27 min.,"August 10, 2018",1,Ended,All About the Washingtons
12,Dark comedy-drama,English,40–53 min.,"August 10, 2018",1,Renewed,Insatiable
10,Police procedural,English,43–49 min.,"September 21, 2018",1,Ended,The Good Cop
10,Dark comedy,English,27–47 min.,"September 21, 2018",1,"Miniseries
",Maniac
8,Comedy,English,23–34 min.,"November 16, 2018",1,Renewed,The Kominsky Method
8,Coming-of-age,English,47–53 min.,"January 11, 2019",1,Renewed,Sex Education
8,Comedy,English,25–30 min.,"February 1, 2019",1,Renewed,Russian Doll
6,Comedy,English,25–31 min.,"March 8, 2019",1,Renewed,After Life
8,Comedy,English,25–29 min.,"March 15, 2019",1,"Pending
",Turn Up Charlie
8,Comedy,English,28–34 min.,"April 12, 2019",1,"Pending
",Huge in France
8,Comedy,English,12–17 min.,"April 12, 2019",1,"Pending
",Special
10,Comedy,English,33–38 min.,"April 19, 2019",1,"Pending
",Lunatics
,Political drama,English,42–59 min.,,,Ended,House of Cards
6,Sketch comedy,English,16–18 min.,"April 23, 2019",1,Renewed,I Think You Should Leave with Tim Robinson
7,Dark comedy,English,13–17 min.,"April 24, 2019",1,"Pending
",Bonding
10,Dark comedy,English,26–33 min.,"May 3, 2019",1,Renewed,Dead to Me
8,Comedy,English,12–21 min.,"May 17, 2019",1,"Pending
",It's Bruno!
10,Comedy,English,26–31 min.,"June 21, 2019",1,"Pending
",Mr. Iglesias
10,Comedy,English,25-34 min.,"July 10, 2019",1,"Pending
",Family Reunion
13,Political drama,English,42–59 min.,2013-02-01,1,Ended,House of Cards
13,Political drama,English,42–59 min.,2014-02-14,2,Ended,House of Cards
13,Political drama,English,42–59 min.,2015-02-27,3,Ended,House of Cards
13,Political drama,English,42–59 min.,2016-03-04,4,Ended,House of Cards
13,Political drama,English,42–59 min.,2017-05-30,5,Ended,House of Cards
8,Political drama,English,42–59 min.,2018-11-02,6,Ended,House of Cards
10,Medieval fantasy,English,27–36 min.,"August 17, 2018",1,"Part 2 due to premiere on September 20, 2019",Disenchantment
,Science fiction,English,42–78 min.,,,"Pending
",Stranger Things
10,Comedy,English,27–30 min.,"August 31, 2018",1,Renewed,Paradise PD
5,Superhero,English,23–26 min.,"November 9, 2018",1,Ended,Super Drags
18,Anthology,English,6–17 min.,"March 15, 2019",1,Renewed,"Love, Death & Robots"
10,Mockumentary,English,24–25 min.,"March 31, 2019",1,"Pending
",Trailer Park Boys: The Animated Series
10,Comedy,English,25–26 min.,"May 3, 2019",1,"Pending
",Tuca & Bertie
10,Supernatural,English,24–28 min.,"January 5, 2018",1,"Miniseries
",Devilman Crybaby
12,Suspense,English,25–27 min.,"March 2, 2018",1,Renewed,B: The Beginning
8,Science fiction,English,42–78 min.,2016-07-15,1,"Pending
",Stranger Things
9,Science fiction,English,42–78 min.,2017-10-27,2,"Pending
",Stranger Things
8,Science fiction,English,42–78 min.,2019-07-04,3,"Pending
",Stranger Things
12,Science fiction,English,25–29 min.,"March 9, 2018",1,"Ended
",A.I.C.O. -Incarnation-
12,Musical,English,23–24 min.,"March 31, 2018",1,"Ended
",Lost Song
15,Crime,English,25 min.,"December 3, 2018",1,"Pending
",Hero Mask
13,Science fiction,English,23–25 min.,"April 1, 2019",1,Renewed,Ultraman
13,Stop motion,English,11–14 min.,"April 19, 2019",1,"Pending
",Rilakkuma and Kaoru
12,Science fiction,English,24–26 min.,"June 28, 2019",1,"Pending
",7SEEDS
6,Action,English,23 min.,"July 19, 2019",1,"Pending
",Saint Seiya: Knights of the Zodiac
,Crime drama,English,43–60 min.,,,Ended,Narcos
12,Fantasy,English,,"August 15, 2019",1,"Pending
",Cannon Busters
10,Crime drama,English,43–60 min.,2015-08-28,1,Ended,Narcos
10,Crime drama,English,43–60 min.,2016-09-02,2,Ended,Narcos
10,Crime drama,English,43–60 min.,2017-09-01,3,Ended,Narcos
,Comedy-drama,English,50–92 min.,,,"Final season due to premiere on July 26, 2019",Orange Is the New Black
,Thriller,English,48–68 min.,,,Ended,Bloodline
,Horror,English,45–58 min.,,,Ended,Hemlock Grove
13,Comedy-drama,English,50–92 min.,2013-07-11,1,"Final season due to premiere on July 26, 2019",Orange Is the New Black
13,Comedy-drama,English,50–92 min.,2014-06-06,2,"Final season due to premiere on July 26, 2019",Orange Is the New Black
13,Comedy-drama,English,50–92 min.,2015-06-11,3,"Final season due to premiere on July 26, 2019",Orange Is the New Black
13,Comedy-drama,English,50–92 min.,2016-06-17,4,"Final season due to premiere on July 26, 2019",Orange Is the New Black
13,Comedy-drama,English,50–92 min.,2017-06-09,5,"Final season due to premiere on July 26, 2019",Orange Is the New Black
13,Comedy-drama,English,50–92 min.,2018-07-27,6,"Final season due to premiere on July 26, 2019",Orange Is the New Black
13,Thriller,English,48–68 min.,2015-03-20,1,Ended,Bloodline
10,Thriller,English,48–68 min.,2016-05-27,2,Ended,Bloodline
10,Thriller,English,48–68 min.,2017-05-26,3,Ended,Bloodline
20,Historical drama,English,48–65 min.,"December 12, 2014",2,Ended,Marco Polo
,Science fiction,English,45–152 min.,,,Ended,Sense8
13,Horror,English,45–58 min.,2013-04-19,1,Ended,Hemlock Grove
10,Horror,English,45–58 min.,2014-07-11,2,Ended,Hemlock Grove
10,Horror,English,45–58 min.,2015-10-23,3,Ended,Hemlock Grove
20,Supernatural,English,50–64 min.,"October 26, 2018",2,Renewed for parts 3 and 4,Chilling Adventures of Sabrina
11,Musical drama,English,50–93 min.,"August 12, 2016",2,Ended,The Get Down
,Mystery,English,31–71 min.,,,"Pending
",The OA
20,Historical drama,English,48–65 min.,"December 12, 2014",2,Ended,Marco Polo
12,Science fiction,English,45–152 min.,2015-06-05,1,Ended,Sense8
,Science fiction,English,45–152 min.,2016-12-23,2,Ended,Sense8
,Science fiction,English,45–152 min.,2017-05-05,,Ended,Sense8
,Science fiction,English,45–152 min.,2018-06-08,,Ended,Sense8
13,,English,22 min.,"June 24, 2016",1,"Ended
",Justin Time GO!
,Crime drama,English,52–80 min.,,,Renewed,Ozark
20,Supernatural,English,50–64 min.,"October 26, 2018",2,Renewed for parts 3 and 4,Chilling Adventures of Sabrina
20,Historical drama,English,54–61 min.,"November 4, 2016",2,Renewed for seasons 3 and 4,The Crown
11,Musical drama,English,50–93 min.,"August 12, 2016",2,Ended,The Get Down
,Teen drama,English,49–70 min.,,,Renewed,13 Reasons Why
8,Mystery,English,31–71 min.,2016-12-16,1,"Pending
",The OA
8,Mystery,English,31–71 min.,2019-03-22,2,"Pending
",The OA
,Black-comedy,English,36–64 min.,,,Ended,A Series of Unfortunate Events
,Romantic comedy,English,24–40 min.,,,Ended,Love
13,,English,22–23 min.,"September 2, 2016",1,"Ended
",Kulipari: An Army of Frogs
10,Crime drama,English,52–80 min.,2017-07-21,1,Renewed,Ozark
10,Crime drama,English,52–80 min.,2018-08-31,2,Renewed,Ozark
20,Historical drama,English,54–61 min.,"November 4, 2016",2,Renewed for seasons 3 and 4,The Crown
20,Comedy,English,21–57 min.,"November 6, 2015",2,"Ended
",Master of None
,Coming-of-age,English,25–46 min.,,,Renewed,Big Mouth
