distribution,genre,language,length,premiere,title
original film,War/drama,"English/Twi
","2 hours, 16 min.","October 16, 2015",Beasts of No Nation
original film,Action,"English
","1 hour, 43 min.","February 26, 2016","Crouching Tiger, Hidden Dragon: Sword of Destiny"
original film,Comedy-drama,"English
","1 hour, 37 min.","June 24, 2016",The Fundamentals of Caring
original film,Thriller,"English
","1 hour, 40 min.","July 15, 2016",Rebirth
original film,Comedy-drama,"English
","1 hour, 51 min.","July 29, 2016",Tallulah
original film,Drama,"English
","1 hour, 32 min.","August 26, 2016",XOXO
original film,Science fiction/Thriller,"English
","1 hour, 28 min.","September 16, 2016",ARQ
original film,War film,"English
","1 hour, 48 min.","October 7, 2016",The Siege of Jadotville
original film,Horror,"English
","1 hour, 29 min.","October 28, 2016",I Am the Pretty Thing That Lives in the House
original film,Drama,"Spanish
","1 hour, 16 min.","October 28, 2016",7 años
original film,Thriller,"English
","1 hour, 30 min.","November 22, 2016",Mercy
original film,Science fiction/Action,"English
","1 hour, 48 min.","December 9, 2016",Spectral
original film,Biopic,"English
","1 hour, 44 min.","December 16, 2016",Barry
original film,Heist film,"English
","1 hour, 37 min.","January 6, 2017",Coin Heist
original film,Thriller,"English
","1 hour, 44 min.","January 13, 2017",Clinical
original film,Science fiction/Thriller,"English
","1 hour, 30 min.","January 27, 2017",iBoy
original film,Drama,"English
","1 hour, 27 min.","February 3, 2017",Imperial Dreams
original film,Drama,"English
","1 hour, 36 min.","February 24, 2017",I Don't Feel at Home in This World Anymore
original film,Drama,"English
","1 hour, 42 min.","March 10, 2017",Burning Sands
original film,Drama,"English
","1 hour, 34 min.","March 17, 2017",Deidra & Laney Rob a Train
original film,Biopic,"English
","1 hour, 32 min.","March 24, 2017",The Most Hated Woman in America
original film,Science fiction/Drama,"English
","1 hour, 42 min.","March 31, 2017",The Discovery
original film,War film,"English
","1 hour, 53 min.","April 21, 2017",Sand Castle
original film,Romance,"English
","1 hour, 23 min.","April 21, 2017",Tramps
original film,Anime/Science fiction,"Japanese
","1 hour, 46 min.","May 20, 2017",Blame!
original film,Crime/thriller,"English
","1 hour, 26 min.","June 9, 2017",Shimmer Lake
original film,Science fiction/Adventure,"English/Korean
","2 hours, 1 min.","June 28, 2017",Okja
original film,Drama,"English
","1 hour, 47 min.","July 14, 2017",To the Bone
original film,Horror/thriller,"English
","1 hour, 40 min.","August 25, 2017",Death Note
original film,Drama,"English/Khmer
","2 hours, 16 min.","September 15, 2017",First They Killed My Father
original film,Horror/thriller,"English
","1 hour, 43 min.","September 29, 2017",Gerald’s Game
original film,Romance,"English
","1 hour, 43 min.","September 29, 2017",Our Souls at Night
original film,Comedy-drama,"English
","1 hour, 52 min.","October 13, 2017",The Meyerowitz Stories (New and Selected)
original film,Horror/crime drama,"English
","1 hour, 42 min.","October 20, 2017",1922
original film,Action/thriller,"English
","1 hour, 22 min.","October 20, 2017",Wheelman
original film,Western,"Portuguese
","1 hour, 39 min.","November 10, 2017",The Killer
original film,Romantic/drama,"English
","1 hour, 44 min.","December 15, 2017",Christmas Inheritance
original film,Urban fantasy,"English
","1 hour, 57 min.","December 22, 2017",Bright
original film,Horror/thriller,"English
","1 hour, 34 min.","January 19, 2018",The Open House
original film,Science fiction,"English
","1 hour, 42 min.","February 4, 2018",The Cloverfield Paradox
original film,Drama,"English
","1 hour, 36 min.","February 16, 2018",Irreplaceable You
original film,Science fiction/Mystery,"English
","2 hours, 6 min.","February 23, 2018",Mute
original film,Crime drama,"English
",2 hours,"March 9, 2018",The Outsider
original film,Musical/Western/Fantasy,"English
",,"March 23, 2018",Paradox
original film,Biopic,"English
","1 hour, 38 min.","March 23, 2018",Roxanne Roxanne
original film,Sports/drama,"English
","1 hour, 42 min.","March 30, 2018",First Match
original film,Drama,"English
","1 hour, 15 min.","April 6, 2018",6 Balloons
original film,Sports/drama,"English
","1 hour, 36 min.","April 6, 2018",Amateur
original film,Biopic,"English
","1 hour, 46 min.","April 13, 2018",Come Sunday
original film,Drama,"Tamil
","1 hour, 41 min.","May 1, 2018",Sometimes
original film,Drama,"Italian
","1 hour, 44 min.","May 4, 2018",Forgive Us Our Debts
original film,Drama/Horror,"English
","1 hour, 44 min.","May 18, 2018",Cargo
original film,Drama,"Hindi
",2 hours,"June 15, 2018",Lust Stories
original film,Thriller,"English
","1 hour, 41 min.","June 29, 2018",Calibre
original film,Science fiction/thriller,"English
","1 hour, 37 min.","June 29, 2018",TAU
original film,Action thriller,"English
","1 hour, 53 min.","July 13, 2018",How It Ends
original film,Science fiction-/thriller,"English
","1 hour, 35 min.","July 27, 2018",Extinction
original film,Thriller,"French
","1 hour, 42 min.","September 7, 2018",The Most Assassinated Woman in the World
original film,Animation/Action/Science fiction,"English
","1 hour, 44 min.","September 7, 2018",Next Gen
original film,Crime drama,"Italian
","1 hour, 40 min.","September 12, 2018",On My Skin
original film,Drama,"English
","1 hour, 38 min.","September 14, 2018",The Land of Steady Habits
original film,Spy/Thriller,"English/Arabic/Hebrew
","1 hour, 54 min.","September 14, 2018",The Angel
original film,Thriller,"English
","2 hours, 5 min.","September 28, 2018",Hold the Dark
original film,Drama,"English
","2 hours, 4 min.","October 5, 2018",Private Life
original film,Drama,"English
","2 hours, 24 min.","October 10, 2018",22 July
original film,Horror/thriller,"English
","2 hours, 9 min.","October 12, 2018",Apostle
original film,Action/thriller,"Indonesian
","2 hours, 1 min.","October 19, 2018",The Night Comes for Us
original film,Musical,"English
","1 hour, 40 min.","October 26, 2018",Been So Long
original film,Drama,"English
",,"November 2, 2018",The Other Side of the Wind
original film,Historical/epic,"English
",,"November 9, 2018",Outlaw King
original film,Psychological horror,"English
","1 hour, 34 min.","November 16, 2018",Cam
original film,Western,"English
","2 hours, 12 min.","November 16, 2018",The Ballad of Buster Scruggs
original film,Adventure,"English
","1 hour, 44 min.","December 7, 2018",Mowgli: Legend of the Jungle
original film,Drama,"Spanish
","2 hours, 15 min.","December 14, 2018",Roma
original film,Psychological thriller,"English
","2 hours, 4 min.","December 21, 2018",Bird Box
original film,Science fiction/drama,"English
",,"January 18, 2019",IO
original film,Crime drama,"Hindi
","1 hour, 37 min.","January 18, 2019",Soni
original film,Thriller,"English
","1 hour, 58 min.","January 25, 2019",Polar
original film,Thriller,"English
","1 hour, 52 min.","February 1, 2019",Velvet Buzzsaw
original film,Sports/drama,"English
","1 hour, 30 min.","February 8, 2019",High Flying Bird
original film,Drama,"Marathi
","1 hour, 52 min.","February 22, 2019",Firebrand
original film,Romance/drama,"French
","1 hour, 23 min.","February 22, 2019",Paris Is Us
original film,Drama/comedy,"English
","1 hour, 29 min.","February 22, 2019",Paddleton
original film,Drama,"English
","1 hour, 39 min.","March 8, 2019",Walk. Ride. Rodeo.
original film,Drama,"English
","1 hour, 30 min.","March 8, 2019",Juanita
